image_file,attack_type,attack_parameter,NCC,BER
00000013.png,Downgrade,(Resize),0.32791,0.411458
00000013.png,Brightness,(1.5x),0.7434,0.291667
00000013.png,Contrast,(2.0x),0.895835,0.171875
00000013.png,Salt,& Pepper Noise,0.621385,0.302083
00000013.png,Cropping,& Padding,0.70148,0.328125
00000014.png,JPEG,Q=90,0.995992,0.026042
00000014.png,JPEG,Q=70,0.947818,0.114583
00000014.png,JPEG,Q=50,0.885319,0.182292
00000014.png,JPEG,Q=30,0.764056,0.25
00000014.png,Gaussian,Noise σ=0.03,0.806218,0.213542
00000014.png,Rotation,10°,0.948563,0.114583
00000014.png,Tampering,,0.963567,0.104167
00000014.png,Replay,,0.697463,0.296875
00000014.png,Downgrade,(Resize),0.311615,0.40625
00000014.png,Brightness,(1.5x),0.486951,0.364583
00000014.png,Contrast,(2.0x),0.738773,0.244792
00000014.png,Salt,& Pepper Noise,0.567153,0.348958
00000014.png,Cropping,& Padding,0.502743,0.375
00000015.png,JPEG,Q=90,0.998104,0.026042
00000015.png,JPEG,Q=70,0.937841,0.135417
00000015.png,JPEG,Q=50,0.890378,0.192708
00000015.png,JPEG,Q=30,0.767956,0.260417
00000015.png,Gaussian,Noise σ=0.03,0.763813,0.25
00000015.png,Rotation,10°,0.933667,0.130208
00000015.png,Tampering,,0.861489,0.177083
00000015.png,Replay,,0.700663,0.286458
00000015.png,Downgrade,(Resize),0.253301,0.447917
00000015.png,Brightness,(1.5x),0.803913,0.239583
00000015.png,Contrast,(2.0x),0.859566,0.208333
00000015.png,Salt,& Pepper Noise,0.608081,0.317708
00000015.png,Cropping,& Padding,0.682774,0.317708
00000016.png,JPEG,Q=90,0.998101,0.010417
00000016.png,JPEG,Q=70,0.939877,0.09375
00000016.png,JPEG,Q=50,0.904957,0.140625
00000016.png,JPEG,Q=30,0.853768,0.1875
00000016.png,Gaussian,Noise σ=0.03,0.748368,0.265625
00000016.png,Rotation,10°,0.923219,0.104167
00000016.png,Tampering,,0.938428,0.098958
00000016.png,Replay,,0.701842,0.291667
00000016.png,Downgrade,(Resize),0.310935,0.395833
00000016.png,Brightness,(1.5x),0.697034,0.296875
00000016.png,Contrast,(2.0x),0.724892,0.255208
00000016.png,Salt,& Pepper Noise,0.563114,0.338542
00000016.png,Cropping,& Padding,0.554523,0.348958
00000017.png,JPEG,Q=90,0.997284,0.036458
00000017.png,JPEG,Q=70,0.974887,0.098958
00000017.png,JPEG,Q=50,0.922161,0.166667
00000017.png,JPEG,Q=30,0.820721,0.223958
00000017.png,Gaussian,Noise σ=0.03,0.813461,0.234375
00000017.png,Rotation,10°,0.945701,0.119792
00000017.png,Tampering,,0.863405,0.15625
00000017.png,Replay,,0.819239,0.208333
00000017.png,Downgrade,(Resize),0.318952,0.427083
00000017.png,Brightness,(1.5x),0.832912,0.234375
00000017.png,Contrast,(2.0x),0.884147,0.208333
00000017.png,Salt,& Pepper Noise,0.594227,0.302083
00000017.png,Cropping,& Padding,0.743145,0.260417
00000018.png,JPEG,Q=90,0.997595,0.015625
00000018.png,JPEG,Q=70,0.914533,0.140625
00000018.png,JPEG,Q=50,0.85856,0.208333
00000018.png,JPEG,Q=30,0.750783,0.255208
00000018.png,Gaussian,Noise σ=0.03,0.806459,0.208333
00000018.png,Rotation,10°,0.941892,0.119792
00000018.png,Tampering,,0.919117,0.161458
00000018.png,Replay,,0.828606,0.21875
00000018.png,Downgrade,(Resize),0.337271,0.416667
00000018.png,Brightness,(1.5x),0.64615,0.3125
00000018.png,Contrast,(2.0x),0.815781,0.255208
00000018.png,Salt,& Pepper Noise,0.636641,0.307292
00000018.png,Cropping,& Padding,0.645936,0.3125
00000019.png,JPEG,Q=90,0.996521,0.010417
00000019.png,JPEG,Q=70,0.965234,0.09375
00000019.png,JPEG,Q=50,0.90639,0.192708
00000019.png,JPEG,Q=30,0.802648,0.234375
00000019.png,Gaussian,Noise σ=0.03,0.780854,0.244792
00000019.png,Rotation,10°,0.960364,0.125
00000019.png,Tampering,,0.864673,0.1875
00000019.png,Replay,,0.9213,0.151042
00000019.png,Downgrade,(Resize),0.255866,0.421875
